"","loss","accuracy","val_loss","val_accuracy","initial_adjoint","terminal_adjoint","val_initial_adjoint","val_terminal_adjoint","architecture","dataset","permute","pad_length","orientation","dim","epochs","learning_rate","task","time_horizon","output_dim","baseline","identifier","terminal_epoch_flag","total_epochs","log_lr","treatment","hyperparameters","full.treatment","response"
"728072",2.3038489818573,0.100216664373875,2.3038489818573,0.101161859929562,0,1.90535843372345,0,0.310238063335419,"lstm","fashion_mnist","False",1000,"post",128,50,0.01,"fashion_mnist-post-False",1784,10,0.1,"c60a5b5e-927e-4908-9064-34320c8948fe",1,50,-4.60517018598809,"0.01-128-50-fashion_mnist-post-False","0.01-128-50","lstm-0.01-128-50-fashion_mnist-post-False",0.00153956537551191
"1048048",1.40432870388031,0.419483333826065,1.40432870388031,0.400140225887299,52.8702392578125,0.215856671333313,6.06108808517456,0.037721075117588,"rnn","fashion_mnist","False",1000,"post",256,50,1e-05,"fashion_mnist-post-False",1784,10,0.1,"fbfa46f7-c88c-47c5-8cfc-2e3aa02e6e14",1,50,-11.5129254649702,"1e-05-256-50-fashion_mnist-post-False","1e-05-256-50","rnn-1e-05-256-50-fashion_mnist-post-False",0.397711882316801
"1050023",1.33211839199066,0.430316656827927,1.33211839199066,0.405949532985687,53.880241394043,0.207205057144165,6.68587493896484,0.0357999391853809,"rnn","fashion_mnist","False",1000,"post",256,50,1e-05,"fashion_mnist-post-False",1784,10,0.1,"38a04aaf-e0bc-4e80-93b3-b7d1999b29de",1,50,-11.5129254649702,"1e-05-256-50-fashion_mnist-post-False","1e-05-256-50","rnn-1e-05-256-50-fashion_mnist-post-False",0.405409719067028
"1057705",1.26941001415253,0.507849991321564,1.26941001415253,0.50040066242218,87.3831253051758,0.20901782810688,10.2231922149658,0.0351400375366211,"rnn","fashion_mnist","False",1000,"post",256,50,1e-05,"fashion_mnist-post-False",1784,10,0.1,"5a354292-3158-47e8-9b28-f742ff9fe716",1,50,-11.5129254649702,"1e-05-256-50-fashion_mnist-post-False","1e-05-256-50","rnn-1e-05-256-50-fashion_mnist-post-False",0.530565673634879
"1059959",2.25407481193542,0.126116663217545,2.25407481193542,0.123998396098614,0,0.234191134572029,0,0.0413988530635834,"rnn","fashion_mnist","False",1000,"post",256,50,1e-05,"fashion_mnist-post-False",1784,10,0.1,"490e2e01-2bbc-4f02-861c-26585b09cea8",1,50,-11.5129254649702,"1e-05-256-50-fashion_mnist-post-False","1e-05-256-50","rnn-1e-05-256-50-fashion_mnist-post-False",0.0317999603576888
"1060880",1.32581567764282,0.441416680812836,1.32581567764282,0.47285658121109,22.8946533203125,0.204481810331345,2.27941346168518,0.0347896218299866,"rnn","fashion_mnist","False",1000,"post",256,50,1e-05,"fashion_mnist-post-False",1784,10,0.1,"c81fe8b3-df03-4ae6-ad2e-71a078908341",1,50,-11.5129254649702,"1e-05-256-50-fashion_mnist-post-False","1e-05-256-50","rnn-1e-05-256-50-fashion_mnist-post-False",0.494067372373312
"1069199",1.66990041732788,0.32288333773613,1.66990041732788,0.354667454957962,74.3940353393555,0.222218587994576,7.90167856216431,0.0384532324969769,"rnn","fashion_mnist","False",1000,"post",256,50,1e-05,"fashion_mnist-post-False",1784,10,0.1,"59cb6362-3275-4489-b2cc-9c85526443c1",1,50,-11.5129254649702,"1e-05-256-50-fashion_mnist-post-False","1e-05-256-50","rnn-1e-05-256-50-fashion_mnist-post-False",0.337456509125811
"1071518",1.6346093416214,0.3623166680336,1.6346093416214,0.445612967014313,88.2487869262695,0.240735784173012,3.80524587631226,0.0382429510354996,"rnn","fashion_mnist","False",1000,"post",256,50,1e-05,"fashion_mnist-post-False",1784,10,0.1,"06ebee1f-c010-4da5-b070-3879f53aa15d",1,50,-11.5129254649702,"1e-05-256-50-fashion_mnist-post-False","1e-05-256-50","rnn-1e-05-256-50-fashion_mnist-post-False",0.457967216017124
"1071792",1.79863739013672,0.300249993801117,1.79863739013672,0.271334141492844,329.1025390625,0.228464066982269,31.8924808502197,0.0401627756655216,"rnn","fashion_mnist","False",1000,"post",256,50,1e-05,"fashion_mnist-post-False",1784,10,0.1,"d15ecc67-bd0e-4441-828d-c4c34f6f629b",1,50,-11.5129254649702,"1e-05-256-50-fashion_mnist-post-False","1e-05-256-50","rnn-1e-05-256-50-fashion_mnist-post-False",0.227032626889002
"1074357",1.82770764827728,0.279249995946884,1.82770764827728,0.284354954957962,125.507080078125,0.21793569624424,10.9959144592285,0.0381284207105637,"rnn","fashion_mnist","False",1000,"post",256,50,1e-05,"fashion_mnist-post-False",1784,10,0.1,"d4c9f32f-965e-49d1-9e9b-73dfdd1a5d8b",1,50,-11.5129254649702,"1e-05-256-50-fashion_mnist-post-False","1e-05-256-50","rnn-1e-05-256-50-fashion_mnist-post-False",0.244286336275004
"1081970",2.23783230781555,0.132166668772697,2.23783230781555,0.129507213830948,0,0.229744851589203,0,0.0405909270048141,"rnn","fashion_mnist","False",1000,"post",256,50,1e-05,"fashion_mnist-post-False",1784,10,0.1,"f68b784f-7f94-460d-ab66-fe7d8f9df3f0",1,50,-11.5129254649702,"1e-05-256-50-fashion_mnist-post-False","1e-05-256-50","rnn-1e-05-256-50-fashion_mnist-post-False",0.0390996225845356
"428637",0.441237688064575,0.836366653442383,0.441237688064575,0.826221942901611,1.9731810092926,0.147106155753136,0.195548981428146,0.0163988824933767,"antisymmetric","fashion_mnist","True",1000,"post",256,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"8e08b0c0-de83-4970-a48b-da9b46852ceb",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-True","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-True",0.997249212086861
"432960",0.471021801233292,0.82461667060852,0.471021801233292,0.814603388309479,1.77083885669708,0.132782608270645,0.158117786049843,0.014666904695332,"antisymmetric","fashion_mnist","True",1000,"post",256,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"7e341aef-62ac-44ac-a4e0-ef517522bb08",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-True","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-True",0.981294593081137
"435511",0.60649311542511,0.775016665458679,0.60649311542511,0.75801283121109,1.69488334655762,0.136429831385612,0.198889032006264,0.0169460587203503,"antisymmetric","fashion_mnist","True",1000,"post",256,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"9fb1d794-b49e-427c-b7fc-3ed36a204f7f",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-True","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-True",0.903584343439767
"437661",0.562173366546631,0.791216671466827,0.562173366546631,0.790164291858673,2.62168622016907,0.224270716309547,0.270283579826355,0.0273421201854944,"antisymmetric","fashion_mnist","True",1000,"post",256,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"b403af7c-8675-4c9e-af91-e47f6a423321",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-True","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-True",0.947734784102764
"691898",0.486706763505936,0.819516658782959,0.486706763505936,0.805989563465118,2.39826226234436,0.176141127943993,0.257598280906677,0.0210254881531,"antisymmetric","fashion_mnist","True",1000,"post",256,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"7f1f81ed-10c2-455d-bfeb-60aaadebc264",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-True","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-True",0.96946607409592
"706575",0.583112061023712,0.784900009632111,0.583112061023712,0.775841355323792,2.29875230789185,0.223369136452675,0.250853329896927,0.0263973567634821,"antisymmetric","fashion_mnist","True",1000,"post",256,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"fd66e97a-c506-41a9-b97f-8c01a3d5a936",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-True","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-True",0.928066503195262
"794704",0.50585013628006,0.812266647815704,0.50585013628006,0.811197936534882,2.69051313400269,0.166255310177803,0.238290712237358,0.0194006860256195,"antisymmetric","fashion_mnist","True",1000,"post",256,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"c65d4e51-6c1e-48fa-afa3-bd161d3dd789",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-True","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-True",0.976618220889121
"805935",0.509965538978577,0.809899985790253,0.509965538978577,0.781149864196777,2.42192101478577,0.172887921333313,0.215844318270683,0.0208068639039993,"antisymmetric","fashion_mnist","True",1000,"post",256,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"7a6c201f-3c2e-482a-95aa-b09e946f27bb",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-True","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-True",0.93535615664444
"844900",0.550079643726349,0.797133326530457,0.550079643726349,0.795673072338104,1.55098748207092,0.140538156032562,0.166641280055046,0.0164793934673071,"antisymmetric","fashion_mnist","True",1000,"post",256,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"a74617c1-0c08-40e2-94b1-51b565f03f86",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-True","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-True",0.955299450863895
"1035102",0.520520806312561,0.807299971580505,0.520520806312561,0.798377394676208,1.76594245433807,0.143155813217163,0.175656408071518,0.0168441794812679,"antisymmetric","fashion_mnist","True",1000,"post",256,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"bb845307-545a-4f4a-90ea-fcfc8c2f43f2",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-True","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-True",0.959013030916473
"250",0.616209745407104,0.77631664276123,0.616209745407104,0.75370591878891,0.024336826056242,0.0961426869034767,0.00309434998780489,0.0124042183160782,"exponential","fashion_mnist","True",1000,"post",256,25,1e-04,"fashion_mnist-post-True",1784,10,0.1,"dc34a7ba-b008-492c-9152-04a16d234d52",1,25,-9.21034037197618,"1e-04-256-25-fashion_mnist-post-True","1e-04-256-25","exponential-1e-04-256-25-fashion_mnist-post-True",0.897670083947159
"1655",0.640409171581268,0.768066644668579,0.640409171581268,0.759415090084076,0.0321210026741028,0.100858017802238,0.00424843933433294,0.012772579677403,"exponential","fashion_mnist","True",1000,"post",256,25,1e-04,"fashion_mnist-post-True",1784,10,0.1,"6a945990-78e2-4c5d-a6c5-6f65b5e09127",1,25,-9.21034037197618,"1e-04-256-25-fashion_mnist-post-True","1e-04-256-25","exponential-1e-04-256-25-fashion_mnist-post-True",0.905509927718644
"147300",0.61179792881012,0.777666687965393,0.61179792881012,0.764022409915924,0.0255791768431664,0.101373292505741,0.003182303160429,0.0131040904670954,"exponential","fashion_mnist","True",1000,"post",256,25,1e-04,"fashion_mnist-post-True",1784,10,0.1,"9ecbc022-5eb8-488a-9f81-250cfa4ebe96",1,25,-9.21034037197618,"1e-04-256-25-fashion_mnist-post-True","1e-04-256-25","exponential-1e-04-256-25-fashion_mnist-post-True",0.911836707179183
"221822",0.654560565948486,0.764366686344147,0.654560565948486,0.750300467014313,0.0265508405864239,0.103255324065685,0.00347965769469738,0.0135685652494431,"exponential","fashion_mnist","True",1000,"post",256,25,1e-04,"fashion_mnist-post-True",1784,10,0.1,"8fbbf1d2-75c6-4458-b70e-241dd0e75918",1,25,-9.21034037197618,"1e-04-256-25-fashion_mnist-post-True","1e-04-256-25","exponential-1e-04-256-25-fashion_mnist-post-True",0.892993711755143
"252442",0.611272096633911,0.779283344745636,0.611272096633911,0.772536039352417,0.0144174313172698,0.0959258452057838,0.00177285436075181,0.0120954513549805,"exponential","fashion_mnist","True",1000,"post",256,25,1e-04,"fashion_mnist-post-True",1784,10,0.1,"15412a8c-3ae4-4ac6-bc0a-cef0c34c6799",1,25,-9.21034037197618,"1e-04-256-25-fashion_mnist-post-True","1e-04-256-25","exponential-1e-04-256-25-fashion_mnist-post-True",0.923527637659223
"252592",0.598943889141083,0.781966686248779,0.598943889141083,0.748397409915924,0.015035592019558,0.0977526754140854,0.00193235033657402,0.0135561292991042,"exponential","fashion_mnist","True",1000,"post",256,25,1e-04,"fashion_mnist-post-True",1784,10,0.1,"ceeb29ec-6aec-4884-a929-ed6ba45c5352",1,25,-9.21034037197618,"1e-04-256-25-fashion_mnist-post-True","1e-04-256-25","exponential-1e-04-256-25-fashion_mnist-post-True",0.890380430497981
"253390",0.633124649524689,0.770533323287964,0.633124649524689,0.74649441242218,0.0220375042408705,0.101832889020443,0.00291517819277942,0.0138754798099399,"exponential","fashion_mnist","True",1000,"post",256,25,1e-04,"fashion_mnist-post-True",1784,10,0.1,"60babc4e-6a50-48b1-901e-4ebf13f2023b",1,25,-9.21034037197618,"1e-04-256-25-fashion_mnist-post-True","1e-04-256-25","exponential-1e-04-256-25-fashion_mnist-post-True",0.887767231090019
"253699",0.607255637645721,0.777133345603943,0.607255637645721,0.760416686534882,0.023098660632968,0.0995277836918831,0.00288568343967199,0.0127238091081381,"exponential","fashion_mnist","True",1000,"post",256,25,1e-04,"fashion_mnist-post-True",1784,10,0.1,"4ff705a1-9a93-4e39-af3a-19fae1353b49",1,25,-9.21034037197618,"1e-04-256-25-fashion_mnist-post-True","1e-04-256-25","exponential-1e-04-256-25-fashion_mnist-post-True",0.906885321675214
"370911",0.602665603160858,0.778916656970978,0.602665603160858,0.766526460647583,0.0202179197221994,0.098984107375145,0.00239461823366582,0.0125143630430102,"exponential","fashion_mnist","True",1000,"post",256,25,1e-04,"fashion_mnist-post-True",1784,10,0.1,"6b4a8380-1dd4-426e-a1c3-b209293a07a7",1,25,-9.21034037197618,"1e-04-256-25-fashion_mnist-post-True","1e-04-256-25","exponential-1e-04-256-25-fashion_mnist-post-True",0.915275273919807
"215153",0.981887936592102,0.632966637611389,0.981887936592102,0.653946340084076,1.25488173961639,1.45237982273102,0.161259233951569,0.19475819170475,"gru","fashion_mnist","True",1000,"post",128,25,0.01,"fashion_mnist-post-True",1784,10,0.1,"127a4732-b6ef-45dd-8994-e4ef2f87b8ce",1,25,-4.60517018598809,"0.01-128-25-fashion_mnist-post-True","0.01-128-25","gru-0.01-128-25-fashion_mnist-post-True",0.760680060120529
"215253",0.715946078300476,0.734883308410645,0.715946078300476,0.561097741127014,1.54571616649628,1.19944787025452,0.30181297659874,0.244669765233994,"gru","fashion_mnist","True",1000,"post",128,25,0.01,"fashion_mnist-post-True",1784,10,0.1,"d1bb117d-8b6c-4271-ade5-d67beb37b283",1,25,-4.60517018598809,"0.01-128-25-fashion_mnist-post-True","0.01-128-25","gru-0.01-128-25-fashion_mnist-post-True",0.633180205484708
"218214",0.886053144931793,0.670066654682159,0.886053144931793,0.666866958141327,1.44811081886292,1.34430432319641,0.182352721691132,0.188447788357735,"gru","fashion_mnist","True",1000,"post",128,25,0.01,"fashion_mnist-post-True",1784,10,0.1,"7a10cf6e-260d-4347-8a76-0c6fda44d335",1,25,-4.60517018598809,"0.01-128-25-fashion_mnist-post-True","0.01-128-25","gru-0.01-128-25-fashion_mnist-post-True",0.778422674899954
"695060",0.47228416800499,0.826683342456818,0.47228416800499,0.821013629436493,0.578302681446075,0.117692708969116,0.0504332631826401,0.0134813142940402,"lipschitz","fashion_mnist","True",1000,"post",128,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"c786b63c-aeb3-4f0a-91a3-c08e24149e45",1,50,-6.90775527898214,"0.001-128-50-fashion_mnist-post-True","0.001-128-50","lipschitz-0.001-128-50-fashion_mnist-post-True",0.99009714714286
"701578",0.441732704639435,0.83950001001358,0.441732704639435,0.828225135803223,0.342159509658813,0.107872679829597,0.0338548235595226,0.0114992400631309,"lipschitz","fashion_mnist","True",1000,"post",128,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"0862c23a-a35a-4000-bb8b-d01b532c8fc9",1,50,-6.90775527898214,"0.001-128-50-fashion_mnist-post-True","0.001-128-50","lipschitz-0.001-128-50-fashion_mnist-post-True",1
"706475",0.431003421545029,0.842033326625824,0.431003421545029,0.820612967014313,0.400815069675446,0.128388658165932,0.0371140725910664,0.0145633462816477,"lipschitz","fashion_mnist","True",1000,"post",128,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"6253c8c8-d150-48af-82aa-656be2e65c5a",1,50,-6.90775527898214,"0.001-128-50-fashion_mnist-post-True","0.001-128-50","lipschitz-0.001-128-50-fashion_mnist-post-True",0.989546956820553
"798354",0.518343091011047,0.810100018978119,0.518343091011047,0.806590557098389,0.629398226737976,0.112820163369179,0.0500963851809502,0.0135038262233138,"lipschitz","fashion_mnist","True",1000,"post",128,50,0.001,"fashion_mnist-post-True",1784,10,0.1,"4c5a83d2-3822-4696-862e-cfb8583e00b6",1,50,-6.90775527898214,"0.001-128-50-fashion_mnist-post-True","0.001-128-50","lipschitz-0.001-128-50-fashion_mnist-post-True",0.970291359579382
